链接,漫画名称,漫画作者,封面,点击数,简介,标签
https://h5.manhua.163.com/source/4508538831870127506,中国诡实录,三老爷,https://easyread.nosdn.127.net/pic/2016/02/26/9b4a71124f91472995a7f70a5b4bfbba.jpg,1282426838,微信公众账号；木偶诡异漫画。中国上下五千年的历史长河里，流传了许许多多的诡异故事，这些故事或妖或狐，或神或鬼，记载于正史野史，诗歌典籍，或是民间口口传说里，这些流传构成了中国历史诡异独特的一面，而现在，在百姓的生活里还在发生流传着一些真实，恐怖的诡异事件和故事。,灵异 恐怖 僵尸 
https://h5.manhua.163.com/source/4317041374930046603,中国怪谈,十日十月（原名小冷）,https://easyread.nosdn.127.net/pic20170117208d344a8a0f42a3928c8a75530a3d7f.jpg,798956352,小智的一万种死法：)微信与新浪微博:@小冷恐怖漫画,科幻 恐怖 悬疑 推理 
https://h5.manhua.163.com/source/4317076104890059052,杀手古德,杭州友诺,https://easyread.nosdn.127.net/pic/2015/07/02/2466e4a4393f4e7abc2b0824264fa060.jpg,604287841,古德与苏拉的猥琐日常~~嘿嘿~~每日一更！古德微信公众号：杀手古德古德微博@古德_GoodKiller古德QQ扯淡二群347174324，三群460739527，四群：232025338,恶搞 搞笑 
https://h5.manhua.163.com/source/4316808070150070932,仙世录,希热卓玛,https://easyread.nosdn.127.net/pic20160125b8f89b5020f840e6aa35983f28724723.jpeg,500933268,500年前的一场仙界大战，将仙界毁于一旦，只遗留下一本书，叫《仙世录》。《仙世录》被一个叫灵小星的女孩保管，灵小星是男转女身的朱雀？她拿着这么重要的一本书会对仙界有什么影响？青龙，白虎，朱雀，玄武——上古四神君，下属二十八星宿，三十二位执掌众生生辰的正神，曾经发生以及正在发生的故事。,穿越 恋爱 惊险 玄幻 古风 
https://h5.manhua.163.com/source/4316808069910049882,我才不会被女孩子欺负呢,灵动漫画,https://easyread.nosdn.127.net/pic201602255e3a2affcab441738c8022ab4b5afd44.jpeg,483766589,热血少年遭遇青梅竹马儿时“小霸王”，苦练十年功夫外加斗智斗勇如何不被女孩欺负……了解作品编创动态新浪微博@：灵动漫画，读者互动qq群：339541396。,恶搞 恋爱 搞笑 校园 
https://h5.manhua.163.com/source/4376930639940112883,讨喜笨王妃,霍如凡,https://easyread.nosdn.127.net/pic20170116dae4d861533f48309f573891d4afa070.jpg,433384101,一向倒霉的巫珑偶然穿越古代成为相爷家存在感极低的五小姐容五，而醒来的第一件事竟是要入宫面圣！快来中二之国《讨喜笨王妃》粉丝讨论专区唠嗑吧~http://163.fm/GT1qc1B，粉丝群：146870264,穿越 恋爱 后宫 古风 
https://h5.manhua.163.com/source/4458002705630123099,黑执事,枢梁,https://easyread.nosdn.127.net/pic/2016/03/08/103cda4afde3411db1f0cfcad907ac21.jpg,353245776,每月18号左右更新，与日本同步连载！！！剧场版『黑执事 Book of the Atlantic』对应漫画48-65话，还没看剧场版的小伙伴们可以先睹为快！！！,励志 治愈 唯美 
https://h5.manhua.163.com/source/4432191056040099387,甜蜜禁忌,鼠叔,https://easyread.nosdn.127.net/pic2016012596cdfdbd11b0490a82d0053b65f35576.jpeg,319882898,一个被继父长年偷取设计图的不幸女孩，刚刚在新学校向继父宣战却迎来继父多年没见的儿子，复仇之火……,恋爱 萌系 唯美 校园 
https://h5.manhua.163.com/source/4317047100100077914,世变,冷月,https://easyread.nosdn.127.net/pic/2016/03/30/f69fe63bda144bf5beaf55d83e60d686.jpg,305625505,★周一周四更新★群1：37125613★贴吧：世变在如今发达又文明的安逸世界，人类站在万物顶端，是不择不扣的主宰者。一次世变，一个被遗忘的世界原貌——六界，重现世人眼前；人、仙、妖、魔、鬼、神、并存的完整世界，混沌的世道，在强敌面前，依旧处于弱势的人类该何去何从……,热血 搞笑 魔幻 校园 恋爱 
https://h5.manhua.163.com/source/4577380875630090313,天才医仙,风人动漫,https://easyread.nosdn.127.net/pic2016031474218470c8dd4ff7a1bff174a5731995.jpeg,303167118,地府学医， 终成医神。 一个倒霉屌丝因意外可以见鬼， 抱上判官大粗腿， 师从古代名医， 习得神奇医术 ，终成一代医神 ，左拥右抱， 享尽齐人之福。网易云阅读小说《天才医仙》（作者：一桶浆糊/阅读地址：http://yuedu.163.com/source/d1c0d8861f234db6b1059327e20423f9_4）改编漫画。天才医仙QQ群146864943风人动漫官方微博：http://weibo.com/maimaiwenhua欢迎各位参与讨论。,热血 搞笑 都市 灵异 魔幻 
https://h5.manhua.163.com/source/4340892233000110888,尸界,north0023,https://easyread.nosdn.127.net/pic/2016/07/25/9b473bace85c44b6ae3e61024946046b.jpg,302840049,欢迎加入《尸界》粉丝群：421613437本故事通过一个普通的三口之家，这个微观的视角。从一开始的房内隔离，到尸潮爆发后被困在房间内艰难的维持生存。再到闯出房外寻找生路和海上绿岛。     极其真实的 展现了末世僵尸世界的状态！ 僵尸病毒扩散、横行。这个普通的三口之家和他们邻居心理状态和生存状态的发展，以及在灾难面前人们如何自救，求生！   为了生存，他们会经历什么？   面对什么？   做出何种抉择？,都市 科幻 恐怖 悬疑 魔幻 
https://h5.manhua.163.com/source/4316808070150076188,战国武校,荤油大熊,https://easyread.nosdn.127.net/pic/2016/08/10/a6a99ee663a74b93966874d111c73832.jpg,248797536,武魂——一种附带着强大力量的灵魂，只有拥有武魂的人，才能使用出带有巨大招式威力的古代武术。战国武校是一所成立千年的神秘学校，其存在的目的就是收纳和惩罚拥有武魂的人，主角在一无所知的情况下被父母送入战国武校，在武校中的所见所闻彻底改变了他对这个世界和武术的观念，战国武校对拥有武魂的武者拥有生杀大权，难道战国武校的所做所为就是正义吗，古代的武术威力惊人，那么在现在这个社会上到底是人类的福利还是人类的悲剧呢？敬请期待故事的发展！每周8-12P，特殊情况下有可能晚更……如果您觉得喜欢，请不要忘记点收藏送月票刷留言留吐槽~~！作者微博：http://weibo.com/575299775战国QQ群：67181607,热血 恐怖 校园 悬疑 战斗 
https://h5.manhua.163.com/source/4588752066270101281,互撸大漫画,撸胖,https://easyread.nosdn.127.net/pic20170206f2d249d9b89941a5b06ed00078f94c8d.jpg,248286888,值观是价值观，漫画是漫画！想要撕逼的去我微博@撸胖先森 欢迎来战！,恶搞 搞笑 都市 生活 虐心 
